Vendor,GRAPHTEC Corporation
Model,GL220
Version,Ver1.04
Sampling,5min
Total data points,8376        
Start time,2014-06-17,11:20:14
End time,2014-07-16,13:15:14
Trigger time,2014-06-17,11:20:14
AMP Settings
CH,Signal name,Input,Range,Filter,Span
CH1, "CH1",DC,50V,Off,25.000000,-25.000000,V
CH2, "CH2",DC,50V,Off,25.000000,-25.000000,V
CH3, "CH3",DC,500mV,Off,250.000000,-250.000000,mV
CH4, "CH4",DC,500mV,Off,250.000000,-250.000000,mV
CH5, "CH5",DC,500mV,Off,250.000000,-250.000000,mV
CH6, "CH6",DC,100mV,Off,50.000000,-50.000000,mV
CH7, "CH7",DC,5V,Off,2.500000,-2.500000,V
CH8, "CH8",DC,5V,Off,2.500000,-2.500000,V
CH9, "CH9",DC,5V,Off,2.500000,-2.500000,V
CH10, "CH10",DC,5V,Off,2.500000,-2.500000,V
Logic/Pulse,Off
DataNumber,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,V,V,mV,mV,mV,mV,V,V,V,V,A1234567890,A1234
1,2014-06-17 11:20:14,000,+0.02,+0.00,+42.1,+2.8,+38.4,+10.88,+0.072,-0.526,+0.003,+0.124,LLLLLLLLLL,LLLL
2,2014-06-17 11:25:14,000,+0.01,+0.00,+94.5,+13.7,+80.0,+18.45,+0.074,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
3,2014-06-17 11:30:14,000,+0.01,+0.00,+81.3,+10.9,+70.0,+9.34,+0.079,-0.526,+0.003,+0.105,LLLLLLLLLL,LLLL
4,2014-06-17 11:35:14,000,+0.01,+0.00,+84.1,+5.4,+77.3,-5.75,+0.079,-0.526,+0.003,+0.105,LLLLLLLLLL,LLLL
5,2014-06-17 11:40:14,000,+0.01,+0.00,+78.7,+2.8,+75.2,+4.39,+0.079,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
6,2014-06-17 11:45:14,000,+0.01,+0.00,+65.9,+5.3,+59.4,+7.53,+0.077,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
7,2014-06-17 11:50:14,000,+0.01,-0.01,+55.1,+2.6,+51.6,+8.54,+0.074,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
8,2014-06-17 11:55:14,000,+0.01,+0.00,+42.2,+2.7,+35.6,+8.37,+0.072,-0.527,+0.003,+0.112,LLLLLLLLLL,LLLL
9,2014-06-17 12:00:14,000,+0.01,+0.01,+47.4,+0.1,+46.3,+9.24,+0.072,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
10,2014-06-17 12:05:14,000,+0.01,+0.00,+42.0,+11.1,+27.8,+10.81,+0.072,-0.526,+0.003,+0.113,LLLLLLLLLL,LLLL
11,2014-06-17 12:10:14,000,+0.01,+0.00,+42.2,+2.7,+41.0,+10.12,+0.072,-0.527,+0.003,+0.116,LLLLLLLLLL,LLLL
12,2014-06-17 12:15:14,000,+0.01,+0.00,+39.6,-5.1,+43.6,+10.58,+0.069,-0.526,+0.003,+0.114,LLLLLLLLLL,LLLL
13,2014-06-17 12:20:14,000,+0.01,+0.00,+36.9,+2.6,+33.1,+9.71,+0.069,-0.526,+0.003,+0.117,LLLLLLLLLL,LLLL
14,2014-06-17 12:25:14,000,+0.01,+0.00,+39.7,-5.2,+43.6,+9.47,+0.069,-0.526,+0.003,+0.121,LLLLLLLLLL,LLLL
15,2014-06-17 12:30:14,000,+0.01,+0.00,+42.2,+13.6,+27.7,+10.11,+0.072,-0.526,+0.003,+0.124,LLLLLLLLLL,LLLL
16,2014-06-17 12:35:14,000,+0.01,+0.00,+44.6,+10.9,+35.6,+9.86,+0.072,-0.526,+0.003,+0.932,LLLLLLLLLL,LLLL
17,2014-06-17 12:40:14,000,+4.53,+0.43,+47.4,+2.8,+43.8,+11.39,+0.072,-0.526,+0.003,+1.248,LLLLLLLLLL,LLLL
18,2014-06-17 12:45:14,000,+4.56,+0.42,+42.2,+8.0,+33.2,+12.78,+0.069,-0.527,+0.003,+1.176,LLLLLLLLLL,LLLL
19,2014-06-17 12:50:14,000,+4.57,+0.42,+44.8,+7.9,+35.8,+12.48,+0.072,-0.526,+0.003,+1.151,LLLLLLLLLL,LLLL
20,2014-06-17 12:55:14,000,+4.48,+0.50,+68.2,+0.2,+67.5,+5.61,+0.074,-0.526,+0.003,+1.147,LLLLLLLLLL,LLLL
